"track_name","artist_name","streams","energy","danceability","bpm"
"Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","BTS, Jung Kook, FIFA Sound",323358833,88,71,115
"Te Felicito","Shakira, Rauw Alejandro",606361689,64,70,174
"Muï¿½ï¿½","Steve Aoki, Tini, La Joaqui",120972253,71,68,90
"TV","Billie Eilish",338564981,25,41,141
"I'm Not The Only One","Sam Smith",1606986953,49,68,82
"Heather","Conan Gray",1301799902,43,47,92
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",140187018,80,77,116
"One Kiss (with Dua Lipa)","Calvin Harris, Dua Lipa",1897517891,86,79,124
"Sugar Rush Ride","TOMORROW X TOGETHER",107642809,89,71,125
"Pink Venom","BLACKPINK",551305895,69,80,90
"WAIT FOR U (feat. Drake & Tems)","Drake, Future, Tems",556585270,64,46,83
"Don't Start Now","Dua Lipa",2303033973,79,79,124
"After Dark","Mr.Kitty",646886885,60,58,140
"Eu Gosto Assim - Ao Vivo","Gustavo Mioto, Mari Fernandez",222612678,91,64,154
